------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
20 kW turbine from the Unsteady Aerodynamics Experiment. File developed while developing the OpenFAST.jl wrapper.
======  Blade Properties =================================================================
         92   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
   (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.7949324E+00  2.1800000E-01        1
3.7500000E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.7949324E+00  1.8277992E-01        1
7.4950000E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.4834932E+01  7.3700000E-01        2
7.9471000E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.4100174E+01  7.3979045E-01        2
8.3992000E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.2757349E+01  7.2749912E-01        2
8.8513000E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1728895E+01  7.2289375E-01        2
9.3034000E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0700085E+01  7.1828768E-01        2
9.7555000E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.9678389E+01  7.1368686E-01        2
1.0007000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.9115863E+01  7.1113195E-01        2
1.0207600E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8687845E+01  7.0909627E-01        2
1.0659700E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7851722E+01  7.0451018E-01        2
1.1111800E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7133782E+01  6.9992438E-01        2
1.1563900E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6461799E+01  6.9533544E-01        2
1.2016000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5804303E+01  6.9073439E-01        2
1.2468100E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5166904E+01  6.8612292E-01        2
1.2920200E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4555739E+01  6.8150557E-01        2
1.3372300E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3976943E+01  6.7688688E-01        2
1.3824400E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3436652E+01  6.7227137E-01        2
1.4276500E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2941002E+01  6.6766360E-01        2
1.4728600E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2487868E+01  6.6308961E-01        2
1.5180700E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2051678E+01  6.5861246E-01        2
1.5632800E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1631363E+01  6.5420273E-01        2
1.6084900E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1228405E+01  6.4982320E-01        2
1.6537000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0844285E+01  6.4543663E-01        2
1.6989100E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0480483E+01  6.4100581E-01        2
1.7441200E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0138482E+01  6.3649350E-01        2
1.7893300E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.8151246E+00  6.3178239E-01        2
1.8345400E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.5128493E+00  6.2704654E-01        2
1.8556300E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.3797271E+00  6.2491843E-01        2
1.8797500E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.2290342E+00  6.2249436E-01        2
1.9249600E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.9521755E+00  6.1796794E-01        2
1.9701700E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.6844876E+00  6.1344590E-01        2
2.0153800E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.4281863E+00  6.0890690E-01        2
2.0605900E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.1854121E+00  6.0433020E-01        2
2.1058000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.9537386E+00  5.9973508E-01        2
2.1510100E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.7320096E+00  5.9513997E-01        2
2.1962200E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.5215616E+00  5.9054485E-01        2
2.2414300E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.3237310E+00  5.8594974E-01        2
2.2866400E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.1398545E+00  5.8135462E-01        2
2.3318500E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.9712684E+00  5.7675951E-01        2
2.3770600E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.8181935E+00  5.7216439E-01        2
2.4222700E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.6711715E+00  5.6756928E-01        2
2.4674800E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.5277283E+00  5.6297416E-01        2
2.5126900E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.3878288E+00  5.5837905E-01        2
2.5579000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.2514379E+00  5.5378393E-01        2
2.6031100E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.1185207E+00  5.4918882E-01        2
2.6483200E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.9890422E+00  5.4459370E-01        2
2.6602700E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.9553883E+00  5.4337911E-01        2
2.6935300E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.8697445E+00  5.4035419E-01        2
2.7387400E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.7624651E+00  5.3575513E-01        2
2.7839500E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.6593100E+00  5.3105519E-01        2
2.8291600E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.5606140E+00  5.2630798E-01        2
2.8743700E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.4667122E+00  5.2156708E-01        2
