------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
DTU 10MW onshore reference wind turbine v0.1 - OpenFAST v2.4; note that we need to add the aerodynamic center to this file
======  Blade Properties =================================================================
         40   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
   (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
0.000000e+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4500E+01  5.3800E+00        1
2.643018e+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4500E+01  5.3803E+00        1
5.379770e+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4500E+01  5.3800E+00        2
8.202738e+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4460E+01  5.4525E+00        2
1.110314e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4231E+01  5.6176E+00        2
1.407102e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3736E+01  5.7204E+00        3
1.709533e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2993E+01  5.7222E+00        3
2.016412e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2151E+01  5.6254E+00        4
2.326467e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1332E+01  5.4757E+00        4
2.638370e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0583E+01  5.3264E+00        5
2.950764e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.9325E+00  5.1890E+00        5
3.262279e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.3499E+00  5.0415E+00        5
3.571564e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8025E+00  4.8575E+00        6
3.877302e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.2618E+00  4.6611E+00        6
4.178239e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.6948E+00  4.4552E+00        6
4.473200e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.1142E+00  4.2568E+00        6
4.761106e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.5352E+00  4.0392E+00        6
5.040992e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.9670E+00  3.8328E+00        6
5.312010e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.4155E+00  3.6304E+00        6
5.573444e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.9019E+00  3.4382E+00        6
5.824705e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.4412E+00  3.2537E+00        6
6.065336e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.0155E+00  3.0814E+00        6
6.295010e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.6317E+00  2.9207E+00        6
6.513516e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.2810E+00  2.7688E+00        6
6.720760e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.9679E+00  2.6321E+00        6
6.916749e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.6809E+00  2.4974E+00        6
7.101585e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.4213E+00  2.3905E+00        6
7.275451e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1793E+00  2.2840E+00        6
7.438597e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.9525E+00  2.1854E+00        6
7.591335e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7422E+00  2.0958E+00        6
7.734022e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5473E+00  2.0076E+00        6
7.867052e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3627E+00  1.9172E+00        6
7.990848e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1939E+00  1.8231E+00        6
8.105852e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0378E+00  1.7312E+00        6
8.212516e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.0090E-01  1.6338E+00        6
8.311296e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.8160E-01  1.5275E+00        6
8.402649e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.7670E-01  1.4320E+00        6
8.487025e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.8410E-01  1.2972E+00        6
8.564866e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0410E-01  1.1633E+00        6
8.636600e+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.3060E-01  6.0000E-01        6
