Blade section properties
51        n_secs:     number of blade sections at which properties are specified (-)

sec_loc	str_tw	tw_iner	mass_den	flp_iner	edge_iner	flp_stff	edge_stff	tor_stff	axial_stff	cg_offst	sc_offst	tc_offst
	(-)	(deg)	(deg)	(kg/m)		(kg-m)		(kg-m)		(Nm^2)		(Nm^2)		(Nm^2)		(N)		(m)		(m)		(m)
0.00000	0.00	0.00	1189.50	3957.30	3706.50	6.18720E+10	6.10120E+10	2.74560E+10	1.77860E+10	-0.0062	-0.0095	0.0000
0.02333	0.00	0.00	1191.60	3967.60	3712.10	6.21760E+10	6.11170E+10	2.74780E+10	1.78420E+10	-0.0063	-0.0096	0.0000
0.04333	0.00	0.00	1202.80	3982.20	3724.80	6.29960E+10	6.11280E+10	2.73240E+10	1.80820E+10	-0.0044	-0.0085	0.0000
0.06333	0.00	0.00	1171.50	3764.90	3578.00	6.01470E+10	5.80850E+10	2.55960E+10	1.76560E+10	0.0094	0.0050	0.0000
0.08332	0.01	0.01	1113.60	3355.10	3300.30	5.45560E+10	5.30460E+10	2.21410E+10	1.68490E+10	0.0164	0.0111	0.0000
0.10332	42.78	42.78	1049.30	2749.40	3102.90	4.41030E+10	5.08640E+10	1.83900E+10	1.59610E+10	0.0346	0.0371	0.0000
0.12332	35.91	35.91	974.63	2234.60	2704.30	3.57930E+10	4.39380E+10	1.39700E+10	1.48290E+10	0.0594	0.0674	0.0000
0.14330	25.74	25.74	908.74	1740.00	2419.90	2.83900E+10	3.78680E+10	1.01010E+10	1.38510E+10	0.0892	0.1001	0.0000
0.16331	18.93	18.93	868.87	1357.20	2245.80	2.26910E+10	3.37670E+10	7.44770E+09	1.32550E+10	0.0751	0.0915	0.0000
0.17998	14.28	14.28	845.51	1125.50	2164.20	1.91240E+10	3.17660E+10	6.02820E+09	1.28960E+10	0.0733	0.0960	0.0000
0.20492	10.97	10.97	775.15	856.03	1964.90	1.47870E+10	2.75020E+10	4.05190E+09	1.16860E+10	0.0820	0.1037	0.0000
0.22499	8.87	8.87	735.79	725.87	1880.50	1.26550E+10	2.53840E+10	3.35080E+09	1.10110E+10	0.0935	0.1222	0.0000
0.24500	7.62	7.62	691.12	617.25	1741.20	1.08080E+10	2.29330E+10	2.63790E+09	1.02690E+10	0.0890	0.1225	0.0000
0.26499	6.79	6.79	654.85	531.95	1619.10	9.33270E+09	2.06460E+10	2.11900E+09	9.65880E+09	0.0826	0.1179	0.0000
0.28499	6.09	6.09	625.88	463.17	1508.50	8.13860E+09	1.87710E+10	1.74370E+09	9.18510E+09	0.0776	0.1121	0.0000
0.30499	4.89	4.89	593.32	391.94	1451.40	6.88290E+09	1.87540E+10	1.41870E+09	8.71210E+09	0.0677	0.0984	0.0000
0.32499	4.53	4.53	580.97	345.88	1368.70	6.09320E+09	1.76630E+10	1.24250E+09	8.55730E+09	0.0609	0.0844	0.0000
0.34499	4.25	4.25	566.23	305.16	1277.90	5.39730E+09	1.65100E+10	1.08950E+09	8.38320E+09	0.0556	0.0723	0.0000
