------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated     with          - AeroElasticSE FAST driver
======  Blade Properties =================================================================
38            NumBlNds      - Number of blade nodes used in the analysis (-)
BlSpn           BlCrvAC         BlSwpAC         BlCrvAng        BlTwist         BlChord         BlAFID         
(m)             (m)             (m)             (deg)           (deg)           (m)             (-)            
              0	              0	              0	              0	 1.44663480e+01	 5.38848900e+00	              1
 2.65400000e+00	-7.57900000e-03	              0	-2.48694000e-01	 1.44053130e+01	 5.38658900e+00	              1
 5.36600000e+00	-2.01890000e-02	              0	-2.77605000e-01	 1.44216440e+01	 5.39478800e+00	              2
 6.97300000e+00	-2.82490000e-02	              0	-3.01396000e-01	 1.43815490e+01	 5.42893000e+00	              2
 8.12900000e+00	-3.45310000e-02	              0	-3.21968000e-01	 1.43087478e+01	 5.46781885e+00	              3
 9.51200000e+00	-4.26140000e-02	              0	-3.48644000e-01	 1.41289803e+01	 5.53754983e+00	              3
 1.11120000e+01	-5.28000000e-02	              0	-3.82348000e-01	 1.37856710e+01	 5.64514751e+00	              3
 1.29220000e+01	-6.55140000e-02	              0	-4.24416000e-01	 1.31677977e+01	 5.78775219e+00	              3
 1.49290000e+01	-8.12580000e-02	              0	-4.76371000e-01	 1.20648914e+01	 5.94010487e+00	              4
 1.71210000e+01	-1.00647000e-01	              0	-5.39099000e-01	 1.06376446e+01	 6.07888746e+00	              4
 1.94870000e+01	-1.24402000e-01	              0	-6.13593000e-01	 9.27436463e+00	 6.18046300e+00	              5
 2.20100000e+01	-1.53300000e-01	              0	-7.01267000e-01	 8.20817134e+00	 6.22286342e+00	              5
 2.46770000e+01	-1.88251000e-01	              0	-8.02961000e-01	 7.44244258e+00	 6.21105460e+00	              5
 2.74710000e+01	-2.30179000e-01	              0	-9.19325000e-01	 6.79821187e+00	 6.14344976e+00	              6
 3.03750000e+01	-2.80042000e-01	              0	-1.05101200e+00	 6.23353275e+00	 6.00823248e+00	              6
 3.33730000e+01	-3.38826000e-01	              0	-1.19853100e+00	 5.63073179e+00	 5.83604111e+00	              6
 3.64450000e+01	-4.07395000e-01	              0	-1.36185100e+00	 5.00106090e+00	 5.63379885e+00	              6
 3.95740000e+01	-4.86588000e-01	              0	-1.54085800e+00	 4.33260224e+00	 5.38581912e+00	              7
 4.27400000e+01	-5.77031000e-01	              0	-1.73493300e+00	 3.66456266e+00	 5.14531759e+00	              7
 4.59260000e+01	-6.79242000e-01	              0	-1.94324700e+00	 2.93963304e+00	 4.86754163e+00	              7
 4.91110000e+01	-7.93375000e-01	              0	-2.16442100e+00	 2.25056383e+00	 4.58899281e+00	              7
 5.22770000e+01	-9.19393000e-01	              0	-2.39735400e+00	 1.57444908e+00	 4.32947065e+00	              7
 5.54040000e+01	-1.05686200e+00	              0	-2.64006500e+00	 8.97966495e-01	 4.06197985e+00	              7
 5.84740000e+01	-1.20509600e+00	              0	-2.89170300e+00	 3.06017475e-01	 3.78786510e+00	              7
 6.14690000e+01	-1.36306100e+00	              0	-3.14860200e+00	-2.23352205e-01	 3.54746809e+00	              7
 6.43700000e+01	-1.52913100e+00	              0	-3.40637000e+00	-7.74238935e-01	 3.30668015e+00	              7
 6.71600000e+01	-1.70147600e+00	              0	-3.66614700e+00	-1.21378272e+00	 3.09188753e+00	              7
 6.98220000e+01	-1.87803200e+00	              0	-3.92471800e+00	-1.61103309e+00	 2.87983152e+00	              7
 7.23410000e+01	-2.05633600e+00	              0	-4.17386900e+00	-2.01372453e+00	 2.69167140e+00	              7
 7.47010000e+01	-2.23355600e+00	              0	-4.41831000e+00	-2.34945986e+00	 2.53342008e+00	              7
 7.68880000e+01	-2.40700000e+00	              0	-4.64900800e+00	-2.64931266e+00	 2.37753553e+00	              7
 7.88880000e+01	-2.57338800e+00	              0	-4.86575500e+00	-2.92999911e+00	 2.22270121e+00	              7
 8.06910000e+01	-2.73007700e+00	              0	-5.06664300e+00	-3.17606733e+00	 2.06760258e+00	              7
 8.22850000e+01	-2.87387700e+00	              0	-5.24456900e+00	-3.37701206e+00	 1.89858369e+00	              7
 8.36600000e+01	-3.00201400e+00	              0	-5.40486100e+00	-3.50694449e+00	 1.69504003e+00	              7
 8.48090000e+01	-3.11208600e+00	              0	-5.53785300e+00	-3.61548449e+00	 1.47520533e+00	              7
 8.57240000e+01	-3.20165500e+00	              0	-5.64522600e+00	-3.72175620e+00	 1.24258803e+00	              7
 8.64000000e+01	-3.26895700e+00	              0	-5.72549900e+00	-3.80026881e+00	 7.70419935e-01	              7
 
 





 
