        200   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.50000  0.00000  
! Airfoil Coordinates
! x/c     y/c
1.00000  0.00000  
0.99975  0.00555  
0.99899  0.02156  
0.99774  0.04439  
0.99598  0.06334  
0.99372  0.07921  
0.99096  0.09455  
0.98771  0.11013  
0.98397  0.12557  
0.97975  0.14087  
0.97504  0.15602  
0.96985  0.17101  
0.96418  0.18583  
0.95805  0.20046  
0.95146  0.21490  
0.94442  0.22911  
0.93692  0.24310  
0.92899  0.25684  
0.92063  0.27032  
0.91184  0.28353  
0.90264  0.29645  
0.89303  0.30908  
0.88302  0.32139  
0.87263  0.33338  
0.86187  0.34504  
0.85074  0.35635  
0.83925  0.36730  
0.82743  0.37787  
0.81528  0.38807  
0.80280  0.39788  
0.79003  0.40729  
0.77696  0.41628  
0.76361  0.42486  
0.75000  0.43301  
0.73614  0.44073  
0.72203  0.44800  
0.70771  0.45482  
0.69317  0.46118  
0.67844  0.46707  
0.66353  0.47250  
0.64846  0.47745  
0.63324  0.48192  
0.61788  0.48591  
0.60240  0.48940  
0.58682  0.49240  
0.57116  0.49491  
0.55542  0.49692  
0.53962  0.49843  
0.52379  0.49943  
0.50793  0.49994  
0.49207  0.49994  
0.47621  0.49943  
0.46038  0.49843  
0.44458  0.49692  
0.42884  0.49491  
0.41318  0.49240  
0.39760  0.48940  
0.38212  0.48591  
0.36676  0.48192  
0.35154  0.47745  
0.33647  0.47250  
0.32156  0.46707  
0.30683  0.46118  
0.29229  0.45482  
0.27797  0.44800  
0.26386  0.44073  
0.25000  0.43301  
0.23639  0.42486  
0.22304  0.41629  
0.20997  0.40729  
0.19720  0.39788  
0.18472  0.38807  
0.17257  0.37787  
0.16075  0.36730  
0.14926  0.35635  
0.13813  0.34504  
0.12737  0.33338  
0.11698  0.32139  
0.10697  0.30908  
0.09736  0.29645  
0.08816  0.28353  
0.07937  0.27032  
0.07101  0.25684  
0.06308  0.24310  
0.05558  0.22911  
0.04854  0.21490  
0.04195  0.20047  
0.03582  0.18583  
0.03015  0.17101  
0.02496  0.15602  
0.02025  0.14087  
0.01603  0.12557  
0.01229  0.11015  
0.00904  0.09463  
0.00628  0.07900  
0.00402  0.06329  
0.00226  0.04754  
0.00101  0.03169  
0.00025  0.01589  
0.00000  0.00000  
0.00025 -0.01589  
0.00101 -0.03169  
0.00226 -0.04754  
0.00402 -0.06329  
0.00628 -0.07900  
0.00904 -0.09463  
0.01229 -0.11015  
0.01603 -0.12557  
0.02025 -0.14087  
0.02496 -0.15602  
0.03015 -0.17101  
0.03582 -0.18583  
0.04195 -0.20047  
0.04854 -0.21490  
0.05558 -0.22911  
0.06308 -0.24310  
0.07101 -0.25684  
0.07937 -0.27032  
0.08816 -0.28353  
0.09736 -0.29645  
0.10697 -0.30908  
0.11698 -0.32139  
0.12737 -0.33338  
0.13813 -0.34504  
0.14926 -0.35635  
0.16075 -0.36730  
0.17257 -0.37787  
0.18472 -0.38807  
0.19720 -0.39788  
0.20997 -0.40729  
0.22304 -0.41629  
0.23639 -0.42486  
0.25000 -0.43301  
0.26386 -0.44073  
0.27797 -0.44800  
0.29229 -0.45482  
0.30683 -0.46118  
0.32156 -0.46707  
0.33647 -0.47250  
0.35154 -0.47745  
0.36676 -0.48192  
0.38212 -0.48591  
0.39760 -0.48940  
0.41318 -0.49240  
0.42884 -0.49491  
0.44458 -0.49692  
0.46038 -0.49843  
0.47621 -0.49943  
0.49207 -0.49994  
0.50793 -0.49994  
0.52379 -0.49943  
0.53962 -0.49843  
0.55542 -0.49692  
0.57116 -0.49491  
0.58682 -0.49240  
0.60240 -0.48940  
0.61788 -0.48591  
0.63324 -0.48192  
0.64846 -0.47745  
0.66353 -0.47250  
0.67844 -0.46707  
0.69317 -0.46118  
0.70771 -0.45482  
0.72203 -0.44800  
0.73614 -0.44073  
0.75000 -0.43301  
0.76361 -0.42486  
0.77696 -0.41628  
0.79003 -0.40729  
0.80280 -0.39788  
0.81528 -0.38807  
0.82743 -0.37787  
0.83925 -0.36730  
0.85074 -0.35635  
0.86187 -0.34504  
0.87263 -0.33338  
0.88302 -0.32139  
0.89303 -0.30908  
0.90264 -0.29645  
0.91184 -0.28353  
0.92063 -0.27032  
0.92899 -0.25684  
0.93692 -0.24310  
0.94442 -0.22911  
0.95146 -0.21490  
0.95805 -0.20046  
0.96418 -0.18583  
0.96985 -0.17101  
0.97504 -0.15602  
0.97975 -0.14087  
0.98397 -0.12557  
0.98771 -0.11013  
0.99096 -0.09455  
0.99372 -0.07921  
0.99598 -0.06334  
0.99774 -0.04439  
0.99899 -0.02156  
0.99975 -0.00555  
1.00000  0.00000  
