        200   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.50000  0.00000  
! Airfoil Coordinates
! x/c     y/c
1.00000  0.00000  
0.99975  0.00003  
0.99899  0.00013  
0.99774  0.00031  
0.99598  0.00058  
0.99372  0.00095  
0.99096  0.00141  
0.98771  0.00199  
0.98397  0.00271  
0.97975  0.00355  
0.97504  0.00451  
0.96985  0.00560  
0.96418  0.00683  
0.95805  0.00819  
0.95146  0.00964  
0.94442  0.01119  
0.93692  0.01281  
0.92899  0.01452  
0.92063  0.01631  
0.91184  0.01815  
0.90264  0.02001  
0.89303  0.02189  
0.88302  0.02379  
0.87263  0.02573  
0.86187  0.02773  
0.85074  0.02977  
0.83925  0.03186  
0.82743  0.03400  
0.81528  0.03620  
0.80280  0.03848  
0.79003  0.04082  
0.77696  0.04323  
0.76361  0.04569  
0.75000  0.04822  
0.73614  0.05082  
0.72203  0.05349  
0.70771  0.05621  
0.69317  0.05899  
0.67844  0.06184  
0.66353  0.06474  
0.64846  0.06770  
0.63324  0.07069  
0.61788  0.07371  
0.60240  0.07676  
0.58682  0.07984  
0.57116  0.08294  
0.55542  0.08599  
0.53962  0.08889  
0.52379  0.09171  
0.50793  0.09434  
0.49207  0.09648  
0.47621  0.09820  
0.46038  0.09954  
0.44458  0.10046  
0.42884  0.10099  
0.41318  0.10125  
0.39760  0.10129  
0.38212  0.10109  
0.36676  0.10067  
0.35154  0.10009  
0.33647  0.09931  
0.32156  0.09834  
0.30683  0.09720  
0.29229  0.09591  
0.27797  0.09446  
0.26386  0.09287  
0.25000  0.09115  
0.23639  0.08928  
0.22304  0.08729  
0.20997  0.08518  
0.19720  0.08296  
0.18472  0.08061  
0.17257  0.07818  
0.16075  0.07565  
0.14926  0.07301  
0.13813  0.07030  
0.12737  0.06753  
0.11698  0.06466  
0.10697  0.06174  
0.09736  0.05878  
0.08816  0.05573  
0.07937  0.05265  
0.07101  0.04957  
0.06308  0.04640  
0.05558  0.04323  
0.04854  0.04010  
0.04195  0.03687  
0.03582  0.03366  
0.03015  0.03056  
0.02496  0.02733  
0.02025  0.02413  
0.01603  0.02116  
0.01229  0.01804  
0.00904  0.01489  
0.00628  0.01217  
0.00402  0.00961  
0.00226  0.00671  
0.00101  0.00417  
0.00025  0.00223  
0.00000  0.00000  
0.00025 -0.00120  
0.00101 -0.00415  
0.00226 -0.00605  
0.00402 -0.00807  
0.00628 -0.01033  
0.00904 -0.01252  
0.01229 -0.01469  
0.01603 -0.01721  
0.02025 -0.01992  
0.02496 -0.02256  
0.03015 -0.02534  
0.03582 -0.02830  
0.04195 -0.03131  
0.04854 -0.03436  
0.05558 -0.03756  
0.06308 -0.04084  
0.07101 -0.04416  
0.07937 -0.04757  
0.08816 -0.05105  
0.09736 -0.05457  
0.10697 -0.05811  
0.11698 -0.06167  
0.12737 -0.06522  
0.13813 -0.06874  
0.14926 -0.07221  
0.16075 -0.07561  
0.17257 -0.07894  
0.18472 -0.08219  
0.19720 -0.08536  
0.20997 -0.08843  
0.22304 -0.09138  
0.23639 -0.09423  
0.25000 -0.09689  
0.26386 -0.09936  
0.27797 -0.10165  
0.29229 -0.10364  
0.30683 -0.10536  
0.32156 -0.10680  
0.33647 -0.10787  
0.35154 -0.10860  
0.36676 -0.10894  
0.38212 -0.10884  
0.39760 -0.10832  
0.41318 -0.10738  
0.42884 -0.10596  
0.44458 -0.10401  
0.46038 -0.10166  
0.47621 -0.09882  
0.49207 -0.09547  
0.50793 -0.09193  
0.52379 -0.08813  
0.53962 -0.08407  
0.55542 -0.07999  
0.57116 -0.07587  
0.58682 -0.07171  
0.60240 -0.06754  
0.61788 -0.06341  
0.63324 -0.05934  
0.64846 -0.05534  
0.66353 -0.05142  
0.67844 -0.04757  
0.69317 -0.04386  
0.70771 -0.04031  
0.72203 -0.03688  
0.73614 -0.03357  
0.75000 -0.03043  
0.76361 -0.02744  
0.77696 -0.02460  
0.79003 -0.02192  
0.80280 -0.01942  
0.81528 -0.01708  
0.82743 -0.01489  
0.83925 -0.01287  
0.85074 -0.01101  
0.86187 -0.00931  
0.87263 -0.00776  
0.88302 -0.00636  
0.89303 -0.00512  
0.90264 -0.00401  
0.91184 -0.00303  
0.92063 -0.00219  
0.92899 -0.00147  
0.93692 -0.00086  
0.94442 -0.00036  
0.95146  0.00002  
0.95805  0.00031  
0.96418  0.00051  
0.96985  0.00065  
0.97504  0.00071  
0.97975  0.00071  
0.98397  0.00066  
0.98771  0.00057  
0.99096  0.00047  
0.99372  0.00035  
0.99598  0.00025  
0.99774  0.00015  
0.99899  0.00007  
0.99975  0.00002  
1.00000  0.00000  
